tx_id,tx_hash,block_number,user_id,project_id,tag_id,amount,created_at,success,event_type,is_anomaly
1,0x63cea7c46926aa7437725417bd51fb40b95cb80aae9fbbfedded2b63f8242648,1000007,37,29,6,3.92323463709808,2025-11-19 01:20:25.504687,True,DonationReceived,False
2,0x6138bd1989413beb6bc7e2d031731d55935ce19b19d3defe7d6b8d74fc1e4798,1000016,90,18,6,1.491562537466416,2025-11-19 01:50:25.504687,True,TransactionCreated,False
3,0xbbbc8cec086870b77ea207220a49698b687b10f66d742b75a2024ed20496ed6a,1000020,98,10,10,0.05935964074597196,2025-11-19 02:20:25.504687,True,TransactionCreated,False
4,0x8ee99bc2ef603cf3d466ceac3cf6a25b19cd845bbbb3ddaf96b86d008ad83c82,1000028,75,1,5,0.13701248897986648,2025-11-19 02:50:25.504687,True,TransactionCreated,False
5,0x657a8d4029b7ea5ff7830d093bd61204070a011b564f002d14b9f5f636a7a0e5,1000029,58,10,7,1.45746200387247,2025-11-19 03:20:25.504687,False,DonationReceived,False
6,0x743155aeff08ba5fc23ba3292e23f63807f6170ab8816ed926bf9f83b010fdb4,1000033,85,9,4,0.08168547326039877,2025-11-19 03:50:25.504687,True,DonationReceived,False
7,0x4fa68822ff23757073a073573d2fd828c1fd1152fc83030d4f37f7620f0fba25,1000037,43,23,10,0.6789292114740811,2025-11-19 04:20:25.504687,True,TransactionCreated,False
8,0x65dd55c257aa14d0bef04bcf232f0f0bbdcd452b847c0d4e2b03ec4f60f2f189,1000039,88,25,10,0.0005543188597221761,2025-11-19 04:50:25.504687,True,TransactionCreated,False
9,0xe5927d71fe561ea9190708a5f6c9692187cb9683c307fdfdb26eb11f6e5289ed,1000042,15,13,3,0.4994451584932661,2025-11-19 05:20:25.504687,True,TransactionCreated,False
10,0xc59950395e5ab4074bbb4635cf3de2673fc1b9d207e2b969494d6e8b40990e1f,1000045,67,15,7,0.3412029593496953,2025-11-19 05:50:25.504687,True,TransactionCreated,False
11,0xd5f87c40fc6fe45c62b9f2458cdb4e0ddd34bf99f4630dd469954313e9929f07,1000054,2,18,10,0.3184073180050328,2025-11-19 06:20:25.504687,True,TransactionCreated,False
12,0x4c3f7f610bffa37b12b00c2a4b20079abccbed1c2126097c999d12863941cac7,1000061,71,26,1,0.8836068505486057,2025-11-19 06:50:25.504687,True,DonationReceived,False
13,0x384c839487f202f3106f76df4b06c6828d00d3f85ca203bc82b86bdef329ef44,1000063,5,13,6,0.04209006451391027,2025-11-19 07:20:25.504687,True,TransactionCreated,False
14,0x2b83a4346f86c4996de9426caa1eb899b0c56dc7981a914c4527fc0530e68c33,1000072,53,5,2,0.23687101932733093,2025-11-19 07:50:25.504687,True,TransactionCreated,False
15,0x5be2cb56a9926d2cc1bd93b7ce8602cbd8eb08705459bcfcce4f54ab4322381e,1000080,45,2,2,0.29533008520971826,2025-11-19 08:20:25.504687,True,DonationReceived,False
16,0x80dee04552f68ab9ff75b7b479b3979b1bb483fa5e08043cbfccd2c512f4e819,1000086,93,26,8,0.06615267777602189,2025-11-19 08:50:25.504687,True,ContributionMade,False
17,0x7d1ac4670501fe0a49e85aa0c0182e04f65b04e4524644499204d8d02cc3d007,1000092,41,7,3,0.044779972574883815,2025-11-19 09:20:25.504687,True,TransactionCreated,False
18,0xf1be76991552a1b05b4dda80fee6e44d1a265fb15111dea2e138507ebd69204c,1000094,63,9,9,0.09899034450631743,2025-11-19 09:50:25.504687,True,TransactionCreated,False
19,0x397090b3741541cdaafa2e866fea5f7373782f2acf1c922441b9c545048b9d10,1000097,96,19,4,0.13790819116236483,2025-11-19 10:20:25.504687,True,DonationReceived,False
20,0xd9ca898e85e7daefc0930702c3eee75d9b6d71c9da7262e6daebc19522ef864b,1000103,94,14,6,1.6915890166904792,2025-11-19 10:50:25.504687,True,TransactionCreated,False
21,0x9680659db80c383928c1e3e51e770b2984539f1a7ac5480454556f3daddde768,1000106,72,17,1,0.3227633369930322,2025-11-19 11:20:25.504687,True,TransactionCreated,False
22,0x622e7437e513ba3e550d752d81ea792cb4595323030be09df54dae3ca2051794,1000113,32,20,10,0.35696996225591965,2025-11-19 11:50:25.504687,True,DonationReceived,False
23,0x69b1c7130e4808ae7562de04dbb1d47a81b2207f5bfc7a84dbd24442ad9d38c9,1000118,2,20,10,0.6137882717849826,2025-11-19 12:20:25.504687,True,DonationReceived,False
24,0x817767df2c506ee0800e61d4772625526279f3eec03d6a3c580c4a60d35194a9,1000122,10,11,3,0.5764288594306777,2025-11-19 12:50:25.504687,True,DonationReceived,False
25,0x055cee3c737ec74ce3bc1ae22339aa43ad975576e9dab9c7d180e7babb3f3474,1000130,43,22,4,0.3493587350413449,2025-11-19 13:20:25.504687,True,TransactionCreated,False
