id,name,created_at
fdffd4fd-521b-4131-af31-a92268b96206,proposal_0,2025-12-02T17:57:58.927302
ec0b9c6e-08b0-4f2b-8bc7-a2c5cbddee1d,proposal_1,2025-12-02T17:57:58.927340
3c3f2d59-57fb-489e-b94b-f4b7a5f31aed,proposal_2,2025-12-02T17:57:58.927355
8c9c9781-3591-4826-b399-2b4aa6037bef,proposal_3,2025-12-02T17:57:58.927365
b9777baf-0366-461b-91a7-8e3fc5bd813d,proposal_4,2025-12-02T17:57:58.927372
28d213c9-a858-47f7-af90-331c521dc802,proposal_5,2025-12-02T17:57:58.927379
db261497-de5f-4726-9825-802e0f56ac12,proposal_6,2025-12-02T17:57:58.927386
e8346120-6ae6-4e4e-88b2-53056f0f4a7a,proposal_7,2025-12-02T17:57:58.927393
cff45df4-ca88-4574-9701-fde83d66133e,proposal_8,2025-12-02T17:57:58.927399
7771b3a9-e135-49b8-8122-b4777be09379,proposal_9,2025-12-02T17:57:58.927406
