id,name,created_at
f83fb78e-ef7e-42ae-bbb6-215b494d3042,sybilscore_0,2025-12-02T17:57:58.939761
0918b002-f57d-49df-a4d9-113ffda09cb7,sybilscore_1,2025-12-02T17:57:58.939776
337e8024-4144-44c2-86bb-ab2d32cb781f,sybilscore_2,2025-12-02T17:57:58.939784
1a83ca0f-a56d-4e6b-8930-cbaeee11ae1b,sybilscore_3,2025-12-02T17:57:58.939791
80c57316-97af-4088-99ef-51b007a02505,sybilscore_4,2025-12-02T17:57:58.939797
9c64beb7-fafd-4bed-945f-32d01a464864,sybilscore_5,2025-12-02T17:57:58.939804
94c096ac-9653-4cf2-82ef-98093d1684c1,sybilscore_6,2025-12-02T17:57:58.939810
fe467f63-c7e7-4bb4-916e-7b07b985f0dc,sybilscore_7,2025-12-02T17:57:58.939817
b1cef7c5-07b3-42dc-bce6-893f00752d98,sybilscore_8,2025-12-02T17:57:58.939823
038e521f-8c79-49d2-9555-adeb9828480b,sybilscore_9,2025-12-02T17:57:58.939831
e9152bff-8cb7-49d1-85e0-81d5dec7e06b,sybilscore_10,2025-12-02T17:57:58.939839
358c8ace-365e-4221-ba12-6790fdcd7c43,sybilscore_11,2025-12-02T17:57:58.939846
e104e36c-9662-4767-8dae-8a3022f70733,sybilscore_12,2025-12-02T17:57:58.939853
d215de17-bcec-4848-8897-64332fa6f9cc,sybilscore_13,2025-12-02T17:57:58.939859
7394ad27-69e6-45de-ae83-aabc2ea80cee,sybilscore_14,2025-12-02T17:57:58.939866
a0516db0-9f40-462f-8948-630b3c4be526,sybilscore_15,2025-12-02T17:57:58.939873
7531e8b5-2d04-408e-af3a-2e5d0ae8138d,sybilscore_16,2025-12-02T17:57:58.939884
0e616d71-54af-4309-bf09-327fb574dcab,sybilscore_17,2025-12-02T17:57:58.939891
42a8d790-ffb1-4d79-bb98-e82f961a1b42,sybilscore_18,2025-12-02T17:57:58.939900
d9348bb6-2def-45c1-bc85-411d7a4b804b,sybilscore_19,2025-12-02T17:57:58.939907
