match_id,matched_amount,proposal_id,round_id
bad7ce37-7475-4763-8474-cbdeebdfebdd,869.93265123,ad55b259-4324-48e7-9aa2-e7e8b1469593,488cd1f6-bd4f-4a6e-941e-1c588010b991
477d0718-943b-49bf-a337-228f6b45f92e,925.82201456,7a3ea59f-2771-4f91-a230-433792f01bf0,7a4afc94-9d7f-46bc-b7ac-51d84a5048bb
8660c669-d9ba-4f2e-a181-06403efa8fbe,699.94149089,9d7d6de2-71d2-413b-9743-41ee00a2e44a,55c92e03-0591-49d3-a0f0-16e237a332fd
70ef7838-4f7b-4f92-8396-aa067212e797,29.82198013,79f49ee4-bfd9-4805-b125-8e80111dba1e,a5ce48f0-1afe-4354-acee-8cf88d0bed13
121e546d-ec0d-4f38-9657-ee81918188e8,809.70922498,8f6718f7-543f-4b6f-8f1b-a31c6e713f3c,55c92e03-0591-49d3-a0f0-16e237a332fd
9dc4a11c-275a-4100-bfcf-5ec32fcc484e,785.80684348,14db054b-b901-4b5d-9fe4-b5a5cbd5be06,a5ce48f0-1afe-4354-acee-8cf88d0bed13
0e33a420-c942-4ab1-9bc9-3e25b55fd3cc,450.44220585,045ff61d-c031-4f6b-a8e0-1e141f0ee938,488cd1f6-bd4f-4a6e-941e-1c588010b991
e38cf7b0-2417-457e-9852-94c6a1c6071e,212.00838834,6bf9a411-33bf-4890-9d6c-7895bf044290,15d7b864-c257-453f-a683-ee719a5a1c67
f7fe562b-471a-46e3-8126-b50665de0085,961.21444167,7abe12e3-822d-4715-bc51-8ec6fd3ff80d,488cd1f6-bd4f-4a6e-941e-1c588010b991
4a1f429e-0b4c-43cf-bc35-1c24250f9e97,443.36863307,b8914621-a6e0-458d-97c8-1cc7bb712085,15d7b864-c257-453f-a683-ee719a5a1c67
7567ee93-3b89-4713-8dac-0c2ebb96fcac,926.79088483,032edc0c-774d-4ad8-852f-26234f9d7aa3,7a4afc94-9d7f-46bc-b7ac-51d84a5048bb
9c72b40c-4cb8-42d5-9906-234a6d25d791,91.90684153,80eb17f0-6297-4494-a473-f1850087ba87,15808a08-6f32-4da1-9356-462f1cfa2525
3611a028-abd2-42e9-8780-ccac4bdad01b,229.37169772,acc6ed8f-d81e-42de-b4db-bbfdf45682ec,7a4afc94-9d7f-46bc-b7ac-51d84a5048bb
30dc1e72-08fd-45da-ae54-393797bb0c81,655.23129982,8d0daec9-e0e6-46a6-9500-8bd5a5fcf206,15808a08-6f32-4da1-9356-462f1cfa2525
76a8339d-f376-409e-8379-68a78459408c,846.57368378,4fa869ee-9174-4454-91f6-5948286badf6,488cd1f6-bd4f-4a6e-941e-1c588010b991
b84b0c68-c168-4446-8ee1-309b43261078,867.08188568,81e046fb-79d1-467c-8a28-493a49296de9,55c92e03-0591-49d3-a0f0-16e237a332fd
c989342e-582f-4165-b8ab-c8e54221b5f9,830.99178207,a9547d9f-73e9-4cc8-9bae-17ed15f03dde,55c92e03-0591-49d3-a0f0-16e237a332fd
ad20cee0-ee41-41f6-a8cd-dbcaebda67a4,710.45440491,1e30bd50-c307-4079-ace3-ec42a957372f,55c92e03-0591-49d3-a0f0-16e237a332fd
dd5435fb-2bc5-4a66-ba00-38cd573c7a42,344.84653645,8ace70b8-6053-475d-b1ae-7ae0ec07d157,488cd1f6-bd4f-4a6e-941e-1c588010b991
cf885a9b-f608-496a-9eaa-5daeb4c05ed8,963.93804657,75e8ce02-cdcd-48d6-907e-a7c5958a8e55,55c92e03-0591-49d3-a0f0-16e237a332fd
