score_id,score,verified_by,last_updated,wallet_id
526c409c-19b8-4d06-8085-392c12207989,0.69,admin,2025-12-02 21:22:14.802451+04,70cc9e80-5947-40f9-9883-d6131e627d0f
b12722b7-7a62-4e9c-879e-338b83a3b0e1,0.35,oracle1,2025-12-02 21:22:14.802855+04,4be8ce8a-964c-4e5b-beef-4347e1b43ac4
0b0fcc25-0b63-4b73-be2e-28f3a0748c71,0.18,oracle1,2025-12-02 21:22:14.802993+04,ca0c885f-3e23-4ee8-93d6-3ffad7ea36f1
d69ecc7e-f9d4-4597-b182-89271bfbf3ea,0.5,admin,2025-12-02 21:22:14.80313+04,8494b787-5588-4ae8-9660-864d1687440f
9b36b1e5-04a0-40d9-bac0-f2b7aa20f69f,0.21,oracle1,2025-12-02 21:22:14.803265+04,e9ba81cd-d51a-4841-960e-df7aaf399b39
194e5b21-ccd9-4701-bdf6-30523a31c9af,0.41,admin,2025-12-02 21:22:14.803398+04,9894494d-57f8-49ed-a1e2-2fda116442bb
779b9834-8cf3-4023-9295-f3c3cdd8d99a,0.63,oracle1,2025-12-02 21:22:14.803536+04,c467d334-cac7-4cf0-a530-be6a88f8e078
28e10773-1882-4638-834b-381bd0c4e477,0.47,oracle2,2025-12-02 21:22:14.803663+04,1822e85e-ca19-46a0-8a27-96ff216ec62c
e8ac2421-772b-4480-a343-636dec8da22c,0.44,oracle1,2025-12-02 21:22:14.803788+04,ff323db6-2509-4794-ba49-64c566c2fad2
55975d18-4eca-44cc-8265-1339b0d1f283,0.77,oracle2,2025-12-02 21:22:14.803914+04,2a0f5e6e-b437-42c3-994c-1764e504d6cf
ac1cdbbc-8a00-49d8-94ae-e5ddf13d78b0,0.04,oracle1,2025-12-02 21:22:14.804039+04,ad91066b-deb3-41cd-85dc-e2bd637b6cb5
36e98a2b-0290-4160-b454-6c01277116f1,0.15,oracle1,2025-12-02 21:22:14.804167+04,981795a4-5511-4d82-8b0c-4f0aa8c5fdc7
806c9bc4-c4e7-45fd-8c41-57b99e683708,0.96,admin,2025-12-02 21:22:14.804295+04,918cf2c0-4dd7-47df-843c-3bb704f48cd9
c0ed235c-c3ff-41f9-9b0e-3160fff675c8,0.7,admin,2025-12-02 21:22:14.804424+04,77b29eba-3945-460f-97c0-d89a9b53998b
e4c7810d-8e99-4b8e-9185-6576749c8725,0.44,oracle2,2025-12-02 21:22:14.804553+04,04beb5e8-3700-4cae-ba69-1e1b8d563b1c
0c7e1cf1-184d-4b6e-bc20-1aac88b5ab04,0.55,oracle2,2025-12-02 21:22:14.804679+04,a6f8f504-14b0-4c3b-b337-193455806979
adbb7acd-ea8a-48cb-9a92-3643e34cf4d1,0.65,oracle1,2025-12-02 21:22:14.804942+04,a813788d-0ef4-4165-8890-f30b7be7838c
4364730f-bd7c-41c1-ad13-d9dda8677158,0.56,oracle1,2025-12-02 21:22:14.805095+04,d0d3fe40-e0d8-466c-be12-b8e64f3b7061
1bae7f93-4393-40f0-8b38-0e84a4a764bb,0.4,admin,2025-12-02 21:22:14.805225+04,7c8d0aa3-1064-452f-9e94-e9189c8b0c92
00f8c9df-0a0c-4aa8-bb7b-b313e2bf329b,0.12,oracle1,2025-12-02 21:22:14.805353+04,8ab3126f-d291-4d08-a8c2-effed5812987
6dead0d6-ab48-4458-bdb8-ff3657cb9146,0.77,oracle2,2025-12-02 21:22:14.805485+04,67c770d8-e5e7-4be7-8979-32a67230281d
ee849323-b2d2-4d7c-8fa3-3f1b9d95bcc6,0.26,oracle1,2025-12-02 21:22:14.805616+04,db248b48-4230-4596-9cd9-8f847c1b5a57
795dc4db-1ea2-4865-925b-ee09adc2e558,0.52,oracle2,2025-12-02 21:22:14.805747+04,f2c08833-c6ab-4394-bea3-3b1c7551f2cc
72319d95-6932-429d-aee4-2d3fe5df2e1e,0.67,admin,2025-12-02 21:22:14.805884+04,f3e3c18f-7e86-4f72-9088-dbb94fa38942
2f00dc57-17e2-4ca9-b660-de7ba2d24db9,0.65,admin,2025-12-02 21:22:14.806016+04,9c7cde4c-193c-401d-86d1-f39e6a790171
40f18d04-9b5a-4176-8ab2-2c402cc87259,0.55,oracle2,2025-12-02 21:22:14.80615+04,2d5ba7ae-dd5d-42f8-bcbb-1e56b7ba804e
3a626388-9f38-4c5e-8747-2cc42cdbcbfb,0.98,oracle1,2025-12-02 21:22:14.806284+04,5c0e48cb-96c5-4137-ad81-5ec6217a97ec
77842d9a-17c0-4ec9-8ed9-7b86429ecad8,0.18,oracle1,2025-12-02 21:22:14.806408+04,bf8c32c2-cd7a-4c5c-bce7-069ced1767ed
32162a9f-b233-4439-960f-1c207d45f04b,0.57,oracle1,2025-12-02 21:22:14.806535+04,f4472efa-222c-4d86-8580-d4f88f8d8440
650cc16e-1410-4689-b13a-57290d68e87a,0.21,oracle1,2025-12-02 21:22:14.806666+04,ca8a31f0-5190-4d11-a604-30e8693f3e49
c34c2fcf-ee60-4ea5-86f1-1c16e377b925,0.85,verifier_10,2025-12-02 21:25:01.206164+04,561c8da3-c3ea-49bc-8e8a-ba30646ef869
b7d5f9aa-bae3-4046-8391-db7e2324fb78,0.51,verifier_6,2025-12-02 21:25:01.206397+04,1a009dd8-680c-4346-ac57-d72ce06570a6
d24431a8-a25d-47f0-9bae-e3d94cd6c166,0.25,verifier_5,2025-12-02 21:25:01.206532+04,85ad7757-673a-4210-993b-7568d65d8891
9297c07d-8b85-416a-93ed-9aaa5afbf945,0.6,verifier_5,2025-12-02 21:25:01.206658+04,561c8da3-c3ea-49bc-8e8a-ba30646ef869
f7c8d9dd-64da-4e5a-8da4-ce6e10445d42,0.39,verifier_6,2025-12-02 21:25:01.206789+04,561c8da3-c3ea-49bc-8e8a-ba30646ef869
22c1fed3-cd21-412f-a58e-cd7f6aad648b,0.96,verifier_6,2025-12-02 21:25:01.20692+04,85ad7757-673a-4210-993b-7568d65d8891
336242a3-d7c4-4a2d-8b4d-f16fd4916e5a,0.68,verifier_2,2025-12-02 21:25:01.207199+04,39983f03-b27b-4e8a-989f-2e8ad6d667b8
31a582ea-72f0-4cad-b8fb-d6b89f0af236,0.5,verifier_9,2025-12-02 21:25:01.207327+04,39983f03-b27b-4e8a-989f-2e8ad6d667b8
2318ca17-e57a-4472-808f-ba81e87b0976,0.78,verifier_8,2025-12-02 21:25:01.207452+04,618c8765-b958-44a1-9780-7102b0e501ad
10882249-ee08-4261-86ee-c8c714720dd0,0.86,verifier_9,2025-12-02 21:25:01.207567+04,bd43e70e-8523-426e-a5b8-e622af2ee33d
2d090b7b-7675-49bc-850d-2ac84b1ea2b5,0.87,verifier_3,2025-12-02 21:25:01.207686+04,5c15d041-cf36-472f-b53a-6f0ee432e07b
77cb273e-7245-412a-9377-1e01eebe76a4,0.27,verifier_10,2025-12-02 21:25:01.207805+04,59cc8ae1-48b5-41ab-bd6c-048deeed7300
774fd11e-8a2c-4594-a69d-786e278e45bf,0.64,verifier_5,2025-12-02 21:25:01.207925+04,6e8d64a2-daf5-4161-96b6-c711bef770a1
15d41a42-013a-47db-81c6-8d741a848841,0.8,verifier_7,2025-12-02 21:25:01.208048+04,82df6e97-190e-4d86-8aff-71543ebd8c64
2cf6156f-affb-47c7-84c2-3e6b994a1956,0.74,verifier_9,2025-12-02 21:25:01.20817+04,9dbbd28d-e6c2-4695-926e-6dc92dc60619
d23c0629-0ec9-4f79-b2b0-92844bf5f969,0.86,verifier_9,2025-12-02 21:25:01.208292+04,e6272bfd-291e-4737-8464-8107c08cbead
76782b82-8052-457a-91a2-abe30e93aa16,0.52,verifier_2,2025-12-02 21:25:01.208402+04,121cc3f5-d1e8-4383-a803-31e36973ca37
