result_id,calculated_match,verified,proposal_id,round_id
3980faa7-94b8-446d-828f-d45f60bd1ad9,322.34748164,f,ad55b259-4324-48e7-9aa2-e7e8b1469593,a5ce48f0-1afe-4354-acee-8cf88d0bed13
76f270de-6cfd-4df4-85bf-5559f9779570,222.92731890,f,7a3ea59f-2771-4f91-a230-433792f01bf0,55c92e03-0591-49d3-a0f0-16e237a332fd
9256fc3c-24e4-4a1e-9b6c-fff9d77463c8,169.48257080,f,9d7d6de2-71d2-413b-9743-41ee00a2e44a,7a4afc94-9d7f-46bc-b7ac-51d84a5048bb
140e4f9a-b9e1-4c2d-bc02-0375799dcbf6,444.27757050,t,79f49ee4-bfd9-4805-b125-8e80111dba1e,58401630-8233-4b24-8e2c-c73694f0377b
5628bc54-7e92-40c2-bb32-35de098c19fc,164.43021119,t,8f6718f7-543f-4b6f-8f1b-a31c6e713f3c,7a4afc94-9d7f-46bc-b7ac-51d84a5048bb
08975113-ac1f-422b-9bb5-2510b96f5062,299.24314056,t,14db054b-b901-4b5d-9fe4-b5a5cbd5be06,55c92e03-0591-49d3-a0f0-16e237a332fd
c3056f20-4449-481c-9741-8487017affb0,116.05849991,t,045ff61d-c031-4f6b-a8e0-1e141f0ee938,15d7b864-c257-453f-a683-ee719a5a1c67
5d7fff10-c129-4757-a6dc-5c7538fb92c4,303.10483528,f,6bf9a411-33bf-4890-9d6c-7895bf044290,15808a08-6f32-4da1-9356-462f1cfa2525
a7e1487b-bc33-4613-868f-c029beaf6524,484.23385266,t,7abe12e3-822d-4715-bc51-8ec6fd3ff80d,a5ce48f0-1afe-4354-acee-8cf88d0bed13
c2fbe03c-b724-4ab1-bc2f-3ffe510f4bf2,293.67960479,f,b8914621-a6e0-458d-97c8-1cc7bb712085,a5ce48f0-1afe-4354-acee-8cf88d0bed13
e1da01c9-bae6-42f5-baef-692e155ee693,247.71054480,t,032edc0c-774d-4ad8-852f-26234f9d7aa3,488cd1f6-bd4f-4a6e-941e-1c588010b991
df624c2b-f378-4c98-9369-3670a7c0cb09,153.85564851,t,80eb17f0-6297-4494-a473-f1850087ba87,15808a08-6f32-4da1-9356-462f1cfa2525
ba96150b-acd7-46e4-93ab-3bb94a9bba38,127.12506674,f,acc6ed8f-d81e-42de-b4db-bbfdf45682ec,55c92e03-0591-49d3-a0f0-16e237a332fd
4235ed0b-326d-4af2-9ab3-89875589aeb6,314.70142166,t,8d0daec9-e0e6-46a6-9500-8bd5a5fcf206,15808a08-6f32-4da1-9356-462f1cfa2525
13bc5262-acac-401b-a7a8-d345f92eb200,120.14228705,f,4fa869ee-9174-4454-91f6-5948286badf6,55c92e03-0591-49d3-a0f0-16e237a332fd
ff96403e-7c1b-439e-80e4-7b710eefc208,398.29017813,f,81e046fb-79d1-467c-8a28-493a49296de9,488cd1f6-bd4f-4a6e-941e-1c588010b991
6cdcd483-d70a-474b-9eda-6af6fdc3e2ef,244.46609674,f,a9547d9f-73e9-4cc8-9bae-17ed15f03dde,58401630-8233-4b24-8e2c-c73694f0377b
ba22546e-fcb9-4aad-9a9a-8d71a45c1764,433.86492076,f,1e30bd50-c307-4079-ace3-ec42a957372f,7a4afc94-9d7f-46bc-b7ac-51d84a5048bb
449a6f1d-c1cc-4700-9f0b-cb81c6f27cfc,279.86168551,t,8ace70b8-6053-475d-b1ae-7ae0ec07d157,7a4afc94-9d7f-46bc-b7ac-51d84a5048bb
2bc54a54-d503-4f83-870b-e900b7433582,311.08838231,t,75e8ce02-cdcd-48d6-907e-a7c5958a8e55,55c92e03-0591-49d3-a0f0-16e237a332fd
