holder_id,voting_power,role,wallet_id
ea2d54b9-b324-45bc-aae9-43814b8f94fa,80.95000000,council,e9ba81cd-d51a-4841-960e-df7aaf399b39
2dac6e00-921b-4193-9bf9-d06a96fc558c,3.35000000,admin,981795a4-5511-4d82-8b0c-4f0aa8c5fdc7
fe0ac996-6ff5-425f-852e-ed689e3561d8,20.91000000,council,1822e85e-ca19-46a0-8a27-96ff216ec62c
49ba3fd2-cb9b-480a-9a1b-2252d1d4ff1b,98.26000000,admin,5c0e48cb-96c5-4137-ad81-5ec6217a97ec
412e6583-6eeb-4b83-8d07-f56ad0ca97ef,38.35000000,member,f2c08833-c6ab-4394-bea3-3b1c7551f2cc
b41465bb-771a-433f-9b37-8ce9c641cf1c,28.69000000,council,34b7c3a6-9e80-4234-a38f-c0715965ce1a
f3033ff4-efa6-4136-9caf-8d46a2dcffc6,68.07000000,council,39983f03-b27b-4e8a-989f-2e8ad6d667b8
40fcecad-9038-42f5-85d0-62c24a559d51,56.20000000,admin,e6272bfd-291e-4737-8464-8107c08cbead
b28ef31f-2e1a-4f36-95f7-2cb2b5204c2a,56.74000000,council,e6272bfd-291e-4737-8464-8107c08cbead
3a56b965-6ce1-4999-8f50-c5f1577c46c6,68.24000000,member,4d589928-a696-438a-8378-f25a52675e14
82d10592-281c-4a72-9069-23c87311ec80,45.85000000,member,6e8d64a2-daf5-4161-96b6-c711bef770a1
34b16490-5c41-4263-ba8c-8d439892d484,85.62000000,member,f6d55c7b-500c-4daf-a561-e3932b9bab53
cd63df5d-f1e2-4838-aeb2-8f7e95123cf4,38.17000000,council,6e8d64a2-daf5-4161-96b6-c711bef770a1
4bbc2ed9-1f7b-49ce-94da-47664d3c0c5c,32.58000000,admin,82df6e97-190e-4d86-8aff-71543ebd8c64
c5250833-7505-41d7-a580-eed0956bb243,70.40000000,member,59cc8ae1-48b5-41ab-bd6c-048deeed7300
3bcaa94d-08a7-4ab5-a370-88e6916129c2,41.49000000,council,618c8765-b958-44a1-9780-7102b0e501ad
0ea72151-ede1-4454-a530-f95faea90762,41.39000000,member,75060a22-920b-4953-b3d9-cb4a1b6385d2
9d2e64bb-a534-4fac-b258-7eade7bc27c0,93.71000000,council,996cd2b0-475f-4dff-bc66-9c00b36b62ee
f580a90b-3c6a-471b-a0bd-0634538f60f3,19.74000000,admin,59acf8b5-3108-4a3b-ab98-7d73728d4845
886679d7-6325-410d-a7c8-47f6ab25f3bd,87.23000000,member,628ad412-fa5b-4315-81bd-115dfc1c4e30
a0b0fbc3-786b-4764-ba07-243dc847385d,82.58000000,council,82df6e97-190e-4d86-8aff-71543ebd8c64
e11b28c8-bc5c-439c-b23e-eb6bac6cb9aa,73.96000000,council,fa5c60dc-a978-42e9-814b-d7808cb73ed1
a2599c03-0bf4-4260-be30-a1bac9f18373,32.67000000,admin,5c55359a-c012-4106-b448-ce2fb0ed907e
520c7d2c-6d21-4e38-a0af-1ff8933195bd,87.22000000,member,34b7c3a6-9e80-4234-a38f-c0715965ce1a
3389c0cb-7e35-4d58-944c-365536f8d40e,71.16000000,council,f6d55c7b-500c-4daf-a561-e3932b9bab53
d58636fd-515a-4889-bf63-58281fea8b19,76.07000000,admin,561c8da3-c3ea-49bc-8e8a-ba30646ef869
69d8b7a3-97bb-45e8-b07f-782239387231,66.62000000,member,121cc3f5-d1e8-4383-a803-31e36973ca37
1419f051-e45e-45b5-8bf1-30df40313f11,66.42000000,council,121cc3f5-d1e8-4383-a803-31e36973ca37
67aeee77-0211-4740-8b17-790a498de314,92.91000000,council,8003b90e-ada6-4637-8b7e-0641e63d38be
5f0fe4d0-39b5-4f19-8662-ca459df6ca54,11.78000000,admin,daefddde-8104-4bdc-bd38-fdc4106465b7
876cd171-fdfd-417a-a82e-acd0bdef0dca,42.74000000,council,85ad7757-673a-4210-993b-7568d65d8891
0611fa60-0314-45ef-a21f-2fdb7688ea12,5.10000000,admin,59cc8ae1-48b5-41ab-bd6c-048deeed7300
f74d8c5c-3302-4987-a989-221b6b9241c9,91.93000000,admin,628ad412-fa5b-4315-81bd-115dfc1c4e30
03673895-2020-4df0-9528-2a262a1e6c75,99.71000000,member,fa5c60dc-a978-42e9-814b-d7808cb73ed1
a2a3a26d-664b-4015-8351-7f5fe1603ae8,68.91000000,admin,996cd2b0-475f-4dff-bc66-9c00b36b62ee
7d118d7b-574a-4a73-ab62-7c585ddd37d7,31.05000000,member,561c8da3-c3ea-49bc-8e8a-ba30646ef869
9acc4aea-ff42-4f26-a00a-f6ab9e7cbddf,35.39000000,member,8003b90e-ada6-4637-8b7e-0641e63d38be
934cc546-d921-43b8-9261-afbb97b589b9,81.19000000,admin,39983f03-b27b-4e8a-989f-2e8ad6d667b8
b9c12c49-7383-411c-853a-c3c040ce1d21,23.24000000,member,08716739-0ab0-43a5-b786-495640ca4721
87880a4a-01e0-4fd5-bdcf-dd0f39109704,11.03000000,member,da6395c9-86b8-4863-87fc-992e20c7869a
e5304c25-5c1c-4b1a-b4ed-1acab0aa4942,35.74000000,council,08716739-0ab0-43a5-b786-495640ca4721
a2c6842c-7d3e-4044-a59d-1295260bee76,61.37000000,admin,34b7c3a6-9e80-4234-a38f-c0715965ce1a
c9c1f554-d294-4cc3-8fb8-012cf867f590,97.64000000,council,4d589928-a696-438a-8378-f25a52675e14
dd86059c-48b3-4258-8159-89bde08d26a9,2.68000000,admin,39b315de-1f79-497a-9492-c8472edf6320
a5da4c5e-0d4a-4291-9d7a-97ae032806d9,41.33000000,member,4187fb25-de45-4732-a6e1-08608acf7771
c4391ba2-6a31-4449-a80f-9d9d2a5682af,47.78000000,admin,da6395c9-86b8-4863-87fc-992e20c7869a
b3d6be63-5f93-42c0-bbca-c6df9f67756f,48.06000000,council,da6395c9-86b8-4863-87fc-992e20c7869a
46a1ed5d-ef8b-49c6-83ab-123af033bf3e,74.67000000,admin,618c8765-b958-44a1-9780-7102b0e501ad
f06b83ef-51c1-456a-a95c-3b069b3c33c1,15.96000000,admin,121cc3f5-d1e8-4383-a803-31e36973ca37
e5c7e192-bebb-4241-8467-31d8aa370d34,4.88000000,admin,1a009dd8-680c-4346-ac57-d72ce06570a6
2e7b2f32-eb35-473e-b20b-e49c42355be8,50.23000000,council,75060a22-920b-4953-b3d9-cb4a1b6385d2
514f3ad5-3394-46e4-936c-193a53b823e4,93.08000000,admin,4187fb25-de45-4732-a6e1-08608acf7771
11e5ba4a-ca73-49b0-9221-79705b90ad26,22.45000000,admin,08716739-0ab0-43a5-b786-495640ca4721
7c3344ea-6f4e-4bd0-b778-34b63b4916de,45.81000000,admin,bd43e70e-8523-426e-a5b8-e622af2ee33d
00dd41e2-4e63-41cf-af2e-2b143d3b501b,23.43000000,member,1a009dd8-680c-4346-ac57-d72ce06570a6
dabc4199-6dad-48c0-a606-98307445912e,429.38234899,member,2e04bb45-72a4-4331-b2de-002eb1fe7541
087c3ba6-4d07-430d-bf16-c1e870052151,530.08213692,admin,2e04bb45-72a4-4331-b2de-002eb1fe7541
21a5fe0c-a0aa-4b4e-b749-cb1f00ab5ab1,984.06327119,council,2e04bb45-72a4-4331-b2de-002eb1fe7541
16f6a0b5-32a5-4fe7-a2a3-1cf01d3b8834,781.08942107,member,34f80f85-063d-4a65-9d55-d8c90c94c053
111382c9-08ed-4656-938c-20eadbb944a5,41.48110876,admin,34f80f85-063d-4a65-9d55-d8c90c94c053
75150c2c-86f6-42e0-81b6-820745e702cf,325.91810865,council,34f80f85-063d-4a65-9d55-d8c90c94c053
bf960e70-8d58-498b-8fd7-49421455cb33,431.71393061,member,a5dd1500-a5a9-4571-acf5-350961b82fd6
30b22e8e-c543-4b0f-8f97-26694cf34817,236.20850025,admin,a5dd1500-a5a9-4571-acf5-350961b82fd6
