round_id,start_date,end_date,status,matching_pool_id
df87fbaf-d025-4351-8644-49b1a88ead50,2025-10-03 07:30:14+04,2025-04-29 23:12:24+04,upcoming,f2324d9e-3f9b-4607-9cc7-c3ab02380ea3
210de42a-44fb-4fd7-8b6f-a1eb441e61d6,2025-08-11 05:48:48+04,2025-10-05 06:10:47+04,upcoming,f2324d9e-3f9b-4607-9cc7-c3ab02380ea3
6096f0f1-5009-41f2-9c71-ad53ca74c764,2025-11-22 22:20:17+04,2025-05-25 13:06:37+04,upcoming,f2324d9e-3f9b-4607-9cc7-c3ab02380ea3
9e757408-71c4-41e4-9031-f4b6106c8919,2025-12-17 00:29:13+04,2025-05-23 16:13:53+04,active,f2324d9e-3f9b-4607-9cc7-c3ab02380ea3
16466574-86ea-488f-b665-9d7ab7a4504c,2025-12-03 22:13:41+04,2025-08-02 21:43:26+04,upcoming,f2324d9e-3f9b-4607-9cc7-c3ab02380ea3
e89880bb-8570-4aea-9faf-2da912500228,2025-11-16 04:23:27+04,2025-05-02 11:09:31+04,closed,c997ea14-3065-4744-8524-92bb729f0a38
55c96bdd-86c1-44bb-b90e-0f24306133d2,2025-04-03 19:07:59+04,2025-10-03 03:49:44+04,upcoming,c997ea14-3065-4744-8524-92bb729f0a38
9316e12d-6d77-47e2-9343-bdb79406157b,2025-06-04 20:45:34+04,2025-02-19 05:24:55+04,closed,c997ea14-3065-4744-8524-92bb729f0a38
35a6c982-5a5b-46d5-a907-56e143620d67,2025-08-31 15:10:41+04,2025-03-14 04:56:45+04,closed,c997ea14-3065-4744-8524-92bb729f0a38
bcfeb81b-b17e-47b1-ba23-4d62bb12a84e,2025-05-28 13:03:10+04,2025-06-26 15:27:37+04,active,c997ea14-3065-4744-8524-92bb729f0a38
7a4afc94-9d7f-46bc-b7ac-51d84a5048bb,2025-08-21 07:04:37.780705+04,2025-09-17 07:04:37.780705+04,upcoming,f5a8824c-5dd2-434d-9e88-cc04d5750f85
488cd1f6-bd4f-4a6e-941e-1c588010b991,2025-06-08 16:10:31.306039+04,2025-06-21 16:10:31.306039+04,upcoming,f5a8824c-5dd2-434d-9e88-cc04d5750f85
a5ce48f0-1afe-4354-acee-8cf88d0bed13,2025-08-24 07:50:51.979572+04,2025-09-05 07:50:51.979572+04,upcoming,f5a8824c-5dd2-434d-9e88-cc04d5750f85
15d7b864-c257-453f-a683-ee719a5a1c67,2025-09-21 04:22:03.261385+04,2025-10-04 04:22:03.261385+04,upcoming,f5a8824c-5dd2-434d-9e88-cc04d5750f85
58401630-8233-4b24-8e2c-c73694f0377b,2025-10-30 12:53:26.00351+04,2025-11-22 12:53:26.00351+04,active,29f12fba-1368-4b7b-bfb1-72d7fe32f5d8
55c92e03-0591-49d3-a0f0-16e237a332fd,2025-05-25 10:51:42.906214+04,2025-06-24 10:51:42.906214+04,closed,fc672417-3c45-4c1d-9bc2-b3b8f95f7e5f
15808a08-6f32-4da1-9356-462f1cfa2525,2025-01-05 09:13:28.159706+04,2025-01-30 09:13:28.159706+04,active,fc672417-3c45-4c1d-9bc2-b3b8f95f7e5f
