wallet_id,address,balance,status,last_activity
70cc9e80-5947-40f9-9883-d6131e627d0f,0x81C085C366,919.51940000,frozen,2025-12-02 21:22:14.793189+04
4be8ce8a-964c-4e5b-beef-4347e1b43ac4,0x96027DD900,213.70980000,active,2025-12-02 21:22:14.793708+04
ca0c885f-3e23-4ee8-93d6-3ffad7ea36f1,0x4AF864987B,235.84950000,flagged,2025-12-02 21:22:14.793895+04
8494b787-5588-4ae8-9660-864d1687440f,0x33125B46A4,698.18630000,frozen,2025-12-02 21:22:14.794053+04
e9ba81cd-d51a-4841-960e-df7aaf399b39,0xEBC33C043B,938.38230000,frozen,2025-12-02 21:22:14.794203+04
9894494d-57f8-49ed-a1e2-2fda116442bb,0xF30340C6C6,131.44290000,frozen,2025-12-02 21:22:14.794349+04
c467d334-cac7-4cf0-a530-be6a88f8e078,0x3F850AA404,68.12490000,active,2025-12-02 21:22:14.794493+04
1822e85e-ca19-46a0-8a27-96ff216ec62c,0xE542040AEE,391.14230000,frozen,2025-12-02 21:22:14.79464+04
ff323db6-2509-4794-ba49-64c566c2fad2,0xC36F8F7EC0,184.11410000,frozen,2025-12-02 21:22:14.794785+04
2a0f5e6e-b437-42c3-994c-1764e504d6cf,0x16EC54750E,682.36310000,frozen,2025-12-02 21:22:14.794922+04
ad91066b-deb3-41cd-85dc-e2bd637b6cb5,0x0F70911E55,696.71970000,active,2025-12-02 21:22:14.795061+04
981795a4-5511-4d82-8b0c-4f0aa8c5fdc7,0xA88BE718E2,38.39800000,active,2025-12-02 21:22:14.795354+04
918cf2c0-4dd7-47df-843c-3bb704f48cd9,0xE166DE4745,845.80710000,frozen,2025-12-02 21:22:14.795512+04
77b29eba-3945-460f-97c0-d89a9b53998b,0x1EA6513A2C,54.21870000,flagged,2025-12-02 21:22:14.795652+04
04beb5e8-3700-4cae-ba69-1e1b8d563b1c,0xFDDF9FD8A4,505.87160000,flagged,2025-12-02 21:22:14.795789+04
a6f8f504-14b0-4c3b-b337-193455806979,0x0F9A67986A,445.72220000,active,2025-12-02 21:22:14.795926+04
a813788d-0ef4-4165-8890-f30b7be7838c,0xF9C9F13BE0,456.43710000,active,2025-12-02 21:22:14.796061+04
d0d3fe40-e0d8-466c-be12-b8e64f3b7061,0x8C6D351E6A,419.51550000,flagged,2025-12-02 21:22:14.7962+04
7c8d0aa3-1064-452f-9e94-e9189c8b0c92,0x6F0016087C,355.45170000,active,2025-12-02 21:22:14.796347+04
8ab3126f-d291-4d08-a8c2-effed5812987,0x2727AE04C7,989.41240000,flagged,2025-12-02 21:22:14.796481+04
67c770d8-e5e7-4be7-8979-32a67230281d,0xE2D2E3BF5B,695.55780000,frozen,2025-12-02 21:22:14.796618+04
db248b48-4230-4596-9cd9-8f847c1b5a57,0x943BFB9FFC,523.59130000,flagged,2025-12-02 21:22:14.796756+04
f2c08833-c6ab-4394-bea3-3b1c7551f2cc,0x447DBE9DAE,751.58070000,frozen,2025-12-02 21:22:14.796893+04
f3e3c18f-7e86-4f72-9088-dbb94fa38942,0xDED655D17F,508.46280000,frozen,2025-12-02 21:22:14.797031+04
9c7cde4c-193c-401d-86d1-f39e6a790171,0xC228E2D09E,583.20650000,frozen,2025-12-02 21:22:14.797171+04
2d5ba7ae-dd5d-42f8-bcbb-1e56b7ba804e,0x174C7F94C8,818.83050000,flagged,2025-12-02 21:22:14.797308+04
5c0e48cb-96c5-4137-ad81-5ec6217a97ec,0x9814C35DF5,45.98420000,flagged,2025-12-02 21:22:14.797446+04
bf8c32c2-cd7a-4c5c-bce7-069ced1767ed,0x14787FC029,295.12490000,flagged,2025-12-02 21:22:14.797584+04
f4472efa-222c-4d86-8580-d4f88f8d8440,0x65FE57F01C,302.37130000,flagged,2025-12-02 21:22:14.79772+04
ca8a31f0-5190-4d11-a604-30e8693f3e49,0x9F03719797,798.93210000,flagged,2025-12-02 21:22:14.797856+04
34b7c3a6-9e80-4234-a38f-c0715965ce1a,0x8251652D8B,678.04840000,frozen,2025-12-02 21:25:01.165355+04
75060a22-920b-4953-b3d9-cb4a1b6385d2,0x1D8EF05878,715.00590000,active,2025-12-02 21:25:01.166183+04
daefddde-8104-4bdc-bd38-fdc4106465b7,0x573499D54A,151.39410000,flagged,2025-12-02 21:25:01.166373+04
4d589928-a696-438a-8378-f25a52675e14,0x9EDC8BB4CA,988.29560000,frozen,2025-12-02 21:25:01.166523+04
121cc3f5-d1e8-4383-a803-31e36973ca37,0xD71159BF87,622.88680000,frozen,2025-12-02 21:25:01.166665+04
996cd2b0-475f-4dff-bc66-9c00b36b62ee,0x7F539E50B6,0.42260000,frozen,2025-12-02 21:25:01.166804+04
8003b90e-ada6-4637-8b7e-0641e63d38be,0x63624F5F40,613.03410000,frozen,2025-12-02 21:25:01.166946+04
6e8d64a2-daf5-4161-96b6-c711bef770a1,0x0EF22FB70A,416.46430000,flagged,2025-12-02 21:25:01.167092+04
82df6e97-190e-4d86-8aff-71543ebd8c64,0xCBC797C95A,112.68210000,active,2025-12-02 21:25:01.167235+04
39b315de-1f79-497a-9492-c8472edf6320,0x99CCA6CAEF,14.15030000,active,2025-12-02 21:25:01.167381+04
bd43e70e-8523-426e-a5b8-e622af2ee33d,0x57D7B97CC0,774.46880000,frozen,2025-12-02 21:25:01.167525+04
e58cab66-6803-4028-a726-14c0741986b0,0xF92C4011C8,825.95060000,active,2025-12-02 21:25:01.167672+04
4187fb25-de45-4732-a6e1-08608acf7771,0x4E0F9ABBBB,380.97410000,active,2025-12-02 21:25:01.167815+04
618c8765-b958-44a1-9780-7102b0e501ad,0xF15EF2C7A2,476.98260000,active,2025-12-02 21:25:01.167954+04
5c55359a-c012-4106-b448-ce2fb0ed907e,0xF80AF20E3B,895.85170000,active,2025-12-02 21:25:01.168095+04
fa5c60dc-a978-42e9-814b-d7808cb73ed1,0xCE8BE983C6,277.90350000,flagged,2025-12-02 21:25:01.168233+04
5c15d041-cf36-472f-b53a-6f0ee432e07b,0x805AD99667,472.51150000,active,2025-12-02 21:25:01.16837+04
85ad7757-673a-4210-993b-7568d65d8891,0xE0E024D7EF,954.07410000,flagged,2025-12-02 21:25:01.168512+04
f6d55c7b-500c-4daf-a561-e3932b9bab53,0xCFB486F483,408.27430000,frozen,2025-12-02 21:25:01.16865+04
1a1cfa27-16d1-4cfa-8d5c-b95bd01856e2,0xCAD745492A,264.02040000,flagged,2025-12-02 21:25:01.168789+04
59cc8ae1-48b5-41ab-bd6c-048deeed7300,0xB1292FDBFF,820.90770000,active,2025-12-02 21:25:01.168922+04
